epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
65,2958.66,1.25177,1.03749,1.44171,0.98265,0.93986,0.98909,0.62959,1.34365,0.62982,1.28966,0.000209073,0.000209073,0.000209073
66,3004.08,1.22455,1.04955,1.44647,0.95354,0.9834,0.99246,0.69974,1.07097,0.56969,1.17753,0.000186845,0.000186845,0.000186845
67,3049.44,1.25739,1.05933,1.46854,0.97024,0.9917,0.99253,0.70214,1.0747,0.56122,1.17948,0.000165886,0.000165886,0.000165886
68,3094.99,1.24995,1.0496,1.45162,0.96714,0.97699,0.99233,0.61491,1.404,0.63736,1.32419,0.000146229,0.000146229,0.000146229
69,3140.36,1.23268,1.04021,1.44481,0.96774,0.99565,0.99278,0.68901,1.12765,0.53938,1.20326,0.000127904,0.000127904,0.000127904
70,3185.79,1.22069,1.03925,1.4428,0.97357,0.9917,0.99259,0.66562,1.18123,0.57071,1.22736,0.000110938,0.000110938,0.000110938
71,3234.19,1.36137,1.161,1.6061,0.97939,0.98575,0.99196,0.65862,1.1992,0.56494,1.23797,9.53593e-05,9.53593e-05,9.53593e-05
72,3279.62,1.33245,1.07231,1.5688,0.96724,0.98016,0.99257,0.6476,1.23942,0.56939,1.2472,8.11906e-05,8.11906e-05,8.11906e-05
73,3324.88,1.32417,1.07063,1.56144,0.95994,0.99423,0.9929,0.62334,1.31697,0.5972,1.28268,6.8454e-05,6.8454e-05,6.8454e-05
74,3370.2,1.32287,1.06059,1.55948,0.95931,0.97825,0.99231,0.59412,1.44304,0.61251,1.34507,5.71693e-05,5.71693e-05,5.71693e-05
75,3415.55,1.32534,1.05522,1.56504,0.96499,0.9917,0.99349,0.66976,1.22521,0.54808,1.23285,4.73538e-05,4.73538e-05,4.73538e-05
76,3460.86,1.28327,1.03799,1.52548,0.9557,0.98458,0.99252,0.65595,1.2765,0.56464,1.25922,3.90226e-05,3.90226e-05,3.90226e-05
77,3506.2,1.28866,1.04285,1.5334,0.95227,0.99337,0.99277,0.66413,1.24006,0.55304,1.23977,3.21885e-05,3.21885e-05,3.21885e-05
78,3551.6,1.30182,1.05259,1.53851,0.9676,0.99141,0.99314,0.66534,1.2492,0.55086,1.23956,2.68622e-05,2.68622e-05,2.68622e-05
79,3596.92,1.29363,1.02475,1.53171,0.97153,0.99103,0.99351,0.66106,1.26079,0.5479,1.24854,2.30518e-05,2.30518e-05,2.30518e-05
80,3642.22,1.31254,1.03479,1.54705,0.95975,0.98949,0.99327,0.66909,1.2444,0.54488,1.23917,2.07633e-05,2.07633e-05,2.07633e-05
